parcelid,State,County,taxrate
12222307,California,Los Angeles,1.3
12655298,California,Los Angeles,1.21
11824023,California,Los Angeles,1.49
12755331,California,Los Angeles,1.91
11439010,California,Los Angeles,1.29
11029750,California,Los Angeles,1.29
11282052,California,Los Angeles,1.61
17264121,California,Ventura,1.13
14072642,California,Orange,1.2
11436683,California,Los Angeles,1.52
10813895,California,Los Angeles,1.45
14186430,California,Orange,1.14
11016108,California,Los Angeles,1.23
11108932,California,Los Angeles,1.52
11242048,California,Los Angeles,1.21
17264826,California,Ventura,1.13
12147874,California,Los Angeles,1.12
12928175,California,Los Angeles,2.12
14149740,California,Orange,1.51
12420615,California,Los Angeles,1.15
14219976,California,Orange,1.08
14098411,California,Orange,1.14
12932416,California,Los Angeles,1.26
17123822,California,Ventura,1.08
13950825,California,Orange,1.41
10816253,California,Los Angeles,1.23
12998892,California,Los Angeles,1.31
11864959,California,Los Angeles,1.31
14381074,California,Orange,1.04
12035564,California,Los Angeles,1.2
10813584,California,Los Angeles,1.24
14394843,California,Orange,1.01
12789251,California,Los Angeles,1.72
10842962,California,Los Angeles,1.31
12710305,California,Los Angeles,1.13
11204960,California,Los Angeles,2.0
14420551,California,Orange,1.04
11892135,California,Los Angeles,1.39
11205024,California,Los Angeles,1.71
12666692,California,Los Angeles,1.29
17219864,California,Ventura,1.07
14325086,California,Orange,1.35
14266960,California,Orange,1.22
12675776,California,Los Angeles,1.14
14484375,California,Orange,1.28
13860122,California,Orange,1.31
12480852,California,Los Angeles,1.17
14271752,California,Orange,1.13
12177973,California,Los Angeles,1.1
13068561,California,Los Angeles,1.26
11492666,California,Los Angeles,1.32
14045909,California,Orange,1.13
14320337,California,Orange,1.03
14140078,California,Orange,1.12
17138423,California,Ventura,1.07
12044713,California,Los Angeles,1.09
12482367,California,Los Angeles,1.18
12014112,California,Los Angeles,1.21
11859764,California,Los Angeles,1.26
11050506,California,Los Angeles,1.21
14166838,California,Orange,1.15
14488894,California,Orange,1.02
14331904,California,Orange,1.21
17169061,California,Ventura,1.16
12005383,California,Los Angeles,1.22
12730293,California,Los Angeles,1.53
10783081,California,Los Angeles,1.21
11716022,California,Los Angeles,1.21
12253441,California,Los Angeles,1.27
11049456,California,Los Angeles,1.24
12406480,California,Los Angeles,1.37
11226907,California,Los Angeles,1.45
10941767,California,Los Angeles,1.11
11521596,California,Los Angeles,1.85
12833461,California,Los Angeles,1.22
11390564,California,Los Angeles,1.27
11389985,California,Los Angeles,1.51
11494753,California,Los Angeles,1.09
12484256,California,Los Angeles,1.24
10917500,California,Los Angeles,1.22
11778870,California,Los Angeles,1.85
12685296,California,Los Angeles,1.15
17287443,California,Ventura,1.24
11506000,California,Los Angeles,1.12
12026533,California,Los Angeles,1.26
11232048,California,Los Angeles,1.47
17090286,California,Ventura,1.07
12098126,California,Los Angeles,1.14
12856686,California,Los Angeles,1.52
13101494,California,Los Angeles,1.19
12492575,California,Los Angeles,1.29
11600520,California,Los Angeles,1.2
11179512,California,Los Angeles,1.33
14050918,California,Orange,1.36
14050918,California,Orange,1.36
11504152,California,Los Angeles,1.11
11807535,California,Los Angeles,1.26
14297677,California,Orange,1.07
11138619,California,Los Angeles,2.17
12027020,California,Los Angeles,1.28
17284561,California,Ventura,1.07
11598501,California,Los Angeles,1.23
13091549,California,Los Angeles,1.35
11058331,California,Los Angeles,1.23
12489413,California,Los Angeles,1.49
12859680,California,Los Angeles,1.25
12859998,California,Los Angeles,1.33
17072413,California,Ventura,1.1
14334302,California,Orange,1.15
13836287,California,Orange,1.54
17204145,California,Ventura,1.14
12327415,California,Los Angeles,0.68
11962981,California,Los Angeles,1.21
11511040,California,Los Angeles,1.06
11969955,California,Los Angeles,1.21
11963255,California,Los Angeles,1.24
14282474,California,Orange,1.26
12494134,California,Los Angeles,1.28
12568256,California,Los Angeles,1.28
12567981,California,Los Angeles,1.22
14313772,California,Orange,1.06
14479528,California,Orange,0.96
10883506,California,Los Angeles,1.41
10918707,California,Los Angeles,1.22
11969138,California,Los Angeles,1.3
10786425,California,Los Angeles,1.35
10757399,California,Los Angeles,1.28
10732341,California,Los Angeles,1.23
13992985,California,Orange,1.2
11344938,California,Los Angeles,1.52
12372333,California,Los Angeles,1.35
12867014,California,Los Angeles,1.86
10838373,California,Los Angeles,1.27
13836329,California,Orange,1.24
17204410,California,Ventura,1.15
13869000,California,Orange,1.21
13037981,California,Los Angeles,1.41
11202324,California,Los Angeles,2.05
14240014,California,Orange,1.11
13038191,California,Los Angeles,1.17
11661481,California,Los Angeles,1.22
13889481,California,Orange,1.2
13981470,California,Orange,1.07
12633900,California,Los Angeles,1.26
14241527,California,Orange,1.62
13890656,California,Orange,1.12
13039202,California,Los Angeles,1.15
17159112,California,Ventura,1.17
11922736,California,Los Angeles,1.26
10872311,California,Los Angeles,1.24
13981572,California,Orange,1.09
14245178,California,Orange,1.16
14011036,California,Orange,1.15
12903129,California,Los Angeles,1.22
11261206,California,Los Angeles,1.57
11608334,California,Los Angeles,1.21
14495298,California,Orange,1.44
10984922,California,Los Angeles,1.25
12389132,California,Los Angeles,1.28
14350494,California,Orange,1.22
13036194,California,Los Angeles,1.23
11480512,California,Los Angeles,1.31
13899228,California,Orange,0.99
10997867,California,Los Angeles,1.27
17194450,California,Ventura,1.1
10911738,California,Los Angeles,1.2
11609668,California,Los Angeles,1.36
14361651,California,Orange,1.31
12263159,California,Los Angeles,1.46
11184594,California,Los Angeles,1.36
17187573,California,Ventura,1.08
12699452,California,Los Angeles,1.14
11482623,California,Los Angeles,1.3
14437612,California,Orange,1.01
14438423,California,Orange,1.0
12468924,California,Los Angeles,1.42
11978308,California,Los Angeles,1.2
14011832,California,Orange,1.61
11799208,California,Los Angeles,1.24
12513034,California,Los Angeles,1.4
12154702,California,Los Angeles,1.46
13036003,California,Los Angeles,1.26
11040944,California,Los Angeles,1.23
13091563,California,Los Angeles,1.34
11868371,California,Los Angeles,1.45
14494110,California,Orange,1.0
14060941,California,Orange,1.09
17239502,California,Ventura,1.67
11072330,California,Los Angeles,1.26
12669829,California,Los Angeles,1.14
10984678,California,Los Angeles,8.89
17293635,California,Ventura,1.21
10854582,California,Los Angeles,1.21
12040941,California,Los Angeles,1.13
11191991,California,Los Angeles,1.63
10750303,California,Los Angeles,1.16
11879653,California,Los Angeles,1.28
12636915,California,Los Angeles,1.6
14060920,California,Orange,1.1
11953881,California,Los Angeles,1.21
14340251,California,Orange,1.12
10751705,California,Los Angeles,1.45
11214087,California,Los Angeles,1.72
11262524,California,Los Angeles,1.5
17168639,California,Ventura,1.16
12614714,California,Los Angeles,1.14
10947605,California,Los Angeles,1.16
11861346,California,Los Angeles,1.6
12232628,California,Los Angeles,1.44
10954801,California,Los Angeles,1.15
12265577,California,Los Angeles,2.83
12728725,California,Los Angeles,1.25
17194590,California,Ventura,1.08
11206362,California,Los Angeles,1.75
17108515,California,Ventura,1.05
11878905,California,Los Angeles,1.21
12395232,California,Los Angeles,1.33
12681383,California,Los Angeles,1.16
17194279,California,Ventura,1.11
10954767,California,Los Angeles,1.1
12733177,California,Los Angeles,1.36
11874459,California,Los Angeles,1.23
10995493,California,Los Angeles,1.21
12701818,California,Los Angeles,1.16
11209520,California,Los Angeles,2.47
12613818,California,Los Angeles,1.48
11570617,California,Los Angeles,1.17
14112575,California,Orange,1.46
11860828,California,Los Angeles,1.42
10807588,California,Los Angeles,1.23
10814969,California,Los Angeles,1.22
12731612,California,Los Angeles,1.22
12630399,California,Los Angeles,1.25
14105123,California,Orange,1.2
10998467,California,Los Angeles,1.28
11570618,California,Los Angeles,1.39
12653742,California,Los Angeles,1.21
10952831,California,Los Angeles,1.1
12743996,California,Los Angeles,1.28
12750592,California,Los Angeles,1.28
12680746,California,Los Angeles,1.16
11581087,California,Los Angeles,1.25
12928485,California,Los Angeles,1.51
11558691,California,Los Angeles,1.24
10889021,California,Los Angeles,1.26
11923991,California,Los Angeles,1.41
11481885,California,Los Angeles,1.34
14301121,California,Orange,1.05
14299524,California,Orange,1.13
11808770,California,Los Angeles,1.25
12154894,California,Los Angeles,1.99
13092151,California,Los Angeles,1.28
14440313,California,Orange,1.02
14038571,California,Orange,1.44
13092421,California,Los Angeles,1.33
11706381,California,Los Angeles,1.26
10886727,California,Los Angeles,1.22
12488323,California,Los Angeles,1.59
17072894,California,Ventura,1.05
12914334,California,Los Angeles,1.23
11965004,California,Los Angeles,1.37
10777369,California,Los Angeles,1.31
17279986,California,Ventura,1.07
11348727,California,Los Angeles,4.29
14423539,California,Orange,1.05
13073005,California,Los Angeles,1.22
14317093,California,Orange,1.06
13100349,California,Los Angeles,1.18
12495433,California,Los Angeles,1.53
14314819,California,Orange,1.12
12150394,California,Los Angeles,1.1
12493656,California,Los Angeles,1.21
11134091,California,Los Angeles,1.65
14305659,California,Orange,1.05
12917873,California,Los Angeles,1.27
14303994,California,Orange,1.34
11189618,California,Los Angeles,1.55
17240006,California,Ventura,1.19
14142273,California,Orange,1.15
11269996,California,Los Angeles,1.72
14461339,California,Orange,1.04
12084715,California,Los Angeles,1.2
11232918,California,Los Angeles,2.03
13862800,California,Orange,1.12
11317213,California,Los Angeles,1.79
11497428,California,Los Angeles,1.11
17291097,California,Ventura,1.06
11915844,California,Los Angeles,1.89
12371059,California,Los Angeles,1.45
12168768,California,Los Angeles,1.16
14256218,California,Orange,1.15
14468912,California,Orange,1.4
10876417,California,Los Angeles,1.24
17293759,California,Ventura,1.12
11503037,California,Los Angeles,1.11
14138791,California,Orange,1.2
12541321,California,Los Angeles,1.29
14267479,California,Orange,0.88
12486751,California,Los Angeles,1.68
12486163,California,Los Angeles,1.31
13991598,California,Orange,1.33
13841021,California,Orange,1.26
11317846,California,Los Angeles,1.66
12484640,California,Los Angeles,1.34
11434962,California,Los Angeles,1.26
13855289,California,Orange,1.16
14272570,California,Orange,1.17
12164397,California,Los Angeles,1.26
12162377,California,Los Angeles,1.94
12145745,California,Los Angeles,1.12
12145343,California,Los Angeles,1.42
12102647,California,Los Angeles,1.21
11248251,California,Los Angeles,1.39
17262352,California,Ventura,1.27
12991722,California,Los Angeles,1.31
11251007,California,Los Angeles,1.31
12989585,California,Los Angeles,1.29
17141902,California,Ventura,1.09
11416348,California,Los Angeles,1.6
14353575,California,Orange,1.26
14390275,California,Orange,1.03
12981163,California,Los Angeles,1.25
13038975,California,Los Angeles,1.2
10766101,California,Los Angeles,1.44
14347626,California,Orange,1.11
13025835,California,Los Angeles,2.29
14158184,California,Orange,1.15
10901459,California,Los Angeles,1.2
11946117,California,Los Angeles,1.2
14372507,California,Orange,1.05
12522692,California,Los Angeles,1.19
14371237,California,Orange,1.07
11107147,California,Los Angeles,2.08
11944523,California,Los Angeles,1.21
11111148,California,Los Angeles,1.45
13019969,California,Los Angeles,1.2
11438260,California,Los Angeles,1.38
17078437,California,Ventura,1.06
13024060,California,Los Angeles,1.24
10900166,California,Los Angeles,1.21
14382527,California,Orange,1.03
11437965,California,Los Angeles,1.25
14393546,California,Orange,1.0
14394018,California,Orange,0.99
11124910,California,Los Angeles,1.3
11669001,California,Los Angeles,1.2
11755266,California,Los Angeles,1.23
12949391,California,Los Angeles,1.38
12500862,California,Los Angeles,1.25
14329130,California,Orange,1.1
12945992,California,Los Angeles,1.35
12944330,California,Los Angeles,1.64
11239531,California,Los Angeles,2.42
12499357,California,Los Angeles,1.21
11089278,California,Los Angeles,1.37
11819361,California,Los Angeles,1.25
12952622,California,Los Angeles,1.84
12133212,California,Los Angeles,1.16
14399978,California,Orange,1.66
11938941,California,Los Angeles,1.19
14007364,California,Orange,1.58
11403239,California,Los Angeles,1.36
12961932,California,Los Angeles,1.16
17274787,California,Ventura,1.05
11187348,California,Los Angeles,1.81
14404852,California,Orange,1.19
11938527,California,Los Angeles,1.27
11181906,California,Los Angeles,1.3
13051623,California,Los Angeles,1.36
14409163,California,Orange,1.04
10835421,California,Los Angeles,1.25
12960067,California,Los Angeles,1.32
12170882,California,Los Angeles,1.2
12888238,California,Los Angeles,1.9
13909682,California,Orange,1.18
12463662,California,Los Angeles,1.23
14225113,California,Orange,1.09
11541517,California,Los Angeles,1.21
14206326,California,Orange,1.08
11225808,California,Los Angeles,1.31
11030358,California,Los Angeles,1.27
14494549,California,Orange,1.04
11798966,California,Los Angeles,1.25
12584911,California,Los Angeles,1.35
10868747,California,Los Angeles,1.21
12406363,California,Los Angeles,2.18
12783835,California,Los Angeles,1.76
11546552,California,Los Angeles,1.39
12781537,California,Los Angeles,1.3
11727014,California,Los Angeles,1.66
12180787,California,Los Angeles,1.25
12781431,California,Los Angeles,1.93
11301866,California,Los Angeles,2.09
14059675,California,Orange,1.23
11024816,California,Los Angeles,1.23
17165689,California,Ventura,1.17
11728099,California,Los Angeles,1.26
10795603,California,Los Angeles,1.22
12401591,California,Los Angeles,1.25
11162453,California,Los Angeles,1.31
11292114,California,Los Angeles,1.94
17218505,California,Ventura,1.06
14507230,California,Orange,1.03
12345123,California,Los Angeles,1.59
14531911,California,Orange,1.04
17054912,California,Ventura,1.2
11161945,California,Los Angeles,1.48
12809409,California,Los Angeles,1.29
10743928,California,Los Angeles,1.29
14123504,California,Orange,1.35
14498448,California,Orange,1.3
13932686,California,Orange,1.25
17054812,California,Ventura,1.18
11608484,California,Los Angeles,1.21
12459059,California,Los Angeles,1.2
11294399,California,Los Angeles,2.14
12171328,California,Los Angeles,1.78
12049078,California,Los Angeles,1.1
11982367,California,Los Angeles,1.22
11296193,California,Los Angeles,1.65
11762755,California,Los Angeles,1.3
12461230,California,Los Angeles,1.27
10791503,California,Los Angeles,1.35
12801782,California,Los Angeles,1.31
13966527,California,Orange,1.43
14473150,California,Orange,0.96
12470382,California,Los Angeles,1.25
11016885,California,Los Angeles,1.27
12844457,California,Los Angeles,1.24
11055008,California,Los Angeles,1.22
14481873,California,Orange,1.05
13982779,California,Orange,1.88
13877879,California,Orange,1.58
13884337,California,Orange,1.18
11154302,California,Los Angeles,1.37
14235815,California,Orange,1.09
12267812,California,Los Angeles,1.87
10740332,California,Los Angeles,1.16
11509020,California,Los Angeles,1.08
